"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","stadium","weather_temperature","weather_wind_mph","weather_humidity","weather_detail"
"3632","19840930BUFIND",1984,"5",1984-09-30,"IND","RCA Dome",72,0,NA,"indoor"
"3633","19840930CLEKC",1984,"5",1984-09-30,"KC","Arrowhead Stadium",46,7,57,""
"3634","19840930DALCHI",1984,"5",1984-09-30,"CHI","Soldier Field",44,7,64,""
"3635","19840930DETLAC",1984,"5",1984-09-30,"LAC","Qualcomm Stadium",74,8,83,""
"3636","19840930GBTB",1984,"5",1984-09-30,"TB","Houlihan's Stadium",74,6,79,""
"3637","19840930LVRDEN",1984,"5",1984-09-30,"DEN","Mile High Stadium",48,6,43,""
"3638","19840930MIAARI",1984,"5",1984-09-30,"ARI","Busch Memorial Stadium",47,8,65,""
"3639","19840930NENYJ",1984,"5",1984-09-30,"NYJ","Giants Stadium",58,14,64,""
"3640","19840930NOTEN",1984,"5",1984-09-30,"TEN","Houston Astrodome",72,0,NA,"indoor"
"3641","19840930NYGLAR",1984,"5",1984-09-30,"LAR","Anaheim Stadium",70,10,73,""
"3642","19840930PHIWAS",1984,"5",1984-09-30,"WAS","RFK Memorial Stadium",60,12,68,""
"3643","19840930SEAMIN",1984,"5",1984-09-30,"MIN","Hubert H. Humphrey Metrodome",72,0,NA,"indoor"
"3644","19841001CINPIT",1984,"5",1984-10-01,"PIT","Three Rivers Stadium",48,12,82,""
"3645","19841007ARIDAL",1984,"6",1984-10-07,"DAL","Texas Stadium",71,11,82,""
"3646","19841007ATLLAR",1984,"6",1984-10-07,"LAR","Anaheim Stadium",68,10,69,""
"3647","19841007DENDET",1984,"6",1984-10-07,"DET","Pontiac Silverdome",72,0,NA,"indoor"
"3648","19841007LACGB",1984,"6",1984-10-07,"GB","Lambeau Field",59,9,87,""
"3649","19841007MIAPIT",1984,"6",1984-10-07,"PIT","Three Rivers Stadium",57,7,70,""
"3650","19841007MINTB",1984,"6",1984-10-07,"TB","Houlihan's Stadium",75,9,67,""
