"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","team_away_id","score_home","score_away","stadium_neutral","schedule_playoff"
"204","19671001DETARI",1967,"3",1967-10-01,"ARI","DET",38,28,FALSE,FALSE
"205","19671001KCLVR",1967,"5",1967-10-01,"LVR","KC",23,21,FALSE,FALSE
"206","19671001LACBUF",1967,"5",1967-10-01,"BUF","LAC",17,37,FALSE,FALSE
"207","19671001LARDAL",1967,"3",1967-10-01,"DAL","LAR",13,35,FALSE,FALSE
"208","19671001MIANYJ",1967,"5",1967-10-01,"NYJ","MIA",29,7,FALSE,FALSE
"209","19671001NYGWAS",1967,"3",1967-10-01,"WAS","NYG",38,34,FALSE,FALSE
"210","19671001PITPHI",1967,"3",1967-10-01,"PHI","PIT",34,24,FALSE,FALSE
"211","19671001SFIND",1967,"3",1967-10-01,"IND","SF",41,7,FALSE,FALSE
"212","19671007LVRNYJ",1967,"6",1967-10-07,"NYJ","LVR",27,14,FALSE,FALSE
"213","19671007PITCLE",1967,"4",1967-10-07,"CLE","PIT",21,10,FALSE,FALSE
"214","19671008ARIMIN",1967,"4",1967-10-08,"MIN","ARI",24,34,FALSE,FALSE
"215","19671008BUFDEN",1967,"6",1967-10-08,"DEN","BUF",16,17,FALSE,FALSE
"216","19671008DALWAS",1967,"4",1967-10-08,"WAS","DAL",14,17,FALSE,FALSE
"217","19671008GBDET",1967,"4",1967-10-08,"DET","GB",17,27,FALSE,FALSE
"218","19671008INDCHI",1967,"4",1967-10-08,"CHI","IND",3,24,FALSE,FALSE
"219","19671008MIAKC",1967,"6",1967-10-08,"KC","MIA",41,0,FALSE,FALSE
"220","19671008NELAC",1967,"6",1967-10-08,"LAC","NE",31,31,FALSE,FALSE
"221","19671008NONYG",1967,"4",1967-10-08,"NYG","NO",27,21,FALSE,FALSE
"222","19671008PHIATL",1967,"4",1967-10-08,"ATL","PHI",7,38,FALSE,FALSE
"223","19671008SFLAR",1967,"4",1967-10-08,"LAR","SF",24,27,FALSE,FALSE
"224","19671015ARICLE",1967,"5",1967-10-15,"CLE","ARI",20,16,FALSE,FALSE
"225","19671015DETCHI",1967,"5",1967-10-15,"CHI","DET",14,3,FALSE,FALSE
"226","19671015KCLAC",1967,"7",1967-10-15,"LAC","KC",45,31,FALSE,FALSE
"227","19671015LARIND",1967,"5",1967-10-15,"IND","LAR",24,24,FALSE,FALSE
"228","19671015LVRBUF",1967,"7",1967-10-15,"BUF","LVR",20,24,FALSE,FALSE
"229","19671015MIANE",1967,"7",1967-10-15,"NE","MIA",41,10,FALSE,FALSE
"230","19671015MINGB",1967,"5",1967-10-15,"GB","MIN",7,10,FALSE,FALSE
"231","19671015NODAL",1967,"5",1967-10-15,"DAL","NO",14,10,FALSE,FALSE
"232","19671015NYGPIT",1967,"5",1967-10-15,"PIT","NYG",24,27,FALSE,FALSE
"233","19671015SFPHI",1967,"5",1967-10-15,"PHI","SF",27,28,FALSE,FALSE
"234","19671015TENNYJ",1967,"7",1967-10-15,"NYJ","TEN",28,28,FALSE,FALSE
"235","19671015WASATL",1967,"5",1967-10-15,"ATL","WAS",20,20,FALSE,FALSE
"236","19671022ATLDET",1967,"6",1967-10-22,"DET","ATL",24,3,FALSE,FALSE
"237","19671022CHICLE",1967,"6",1967-10-22,"CLE","CHI",24,0,FALSE,FALSE
"238","19671022DALPIT",1967,"6",1967-10-22,"PIT","DAL",21,24,FALSE,FALSE
"239","19671022GBNYG",1967,"6",1967-10-22,"NYG","GB",21,48,FALSE,FALSE
"240","19671022INDMIN",1967,"6",1967-10-22,"MIN","IND",20,20,FALSE,FALSE
"241","19671022LACDEN",1967,"8",1967-10-22,"DEN","LAC",21,38,FALSE,FALSE
"242","19671022LVRNE",1967,"8",1967-10-22,"NE","LVR",14,48,FALSE,FALSE
"243","19671022NOSF",1967,"6",1967-10-22,"SF","NO",27,13,FALSE,FALSE
"244","19671022NYJMIA",1967,"8",1967-10-22,"MIA","NYJ",14,33,FALSE,FALSE
"245","19671022PHIARI",1967,"6",1967-10-22,"ARI","PHI",48,14,FALSE,FALSE
"246","19671022TENKC",1967,"8",1967-10-22,"KC","TEN",19,24,FALSE,FALSE
"247","19671022WASLAR",1967,"6",1967-10-22,"LAR","WAS",28,28,FALSE,FALSE
"248","19671029BUFTEN",1967,"9",1967-10-29,"TEN","BUF",10,3,FALSE,FALSE
"249","19671029CLENYG",1967,"7",1967-10-29,"NYG","CLE",38,34,FALSE,FALSE
"250","19671029DALPHI",1967,"7",1967-10-29,"PHI","DAL",21,14,FALSE,FALSE
"251","19671029DENKC",1967,"9",1967-10-29,"KC","DEN",52,9,FALSE,FALSE
"252","19671029DETSF",1967,"7",1967-10-29,"SF","DET",3,45,FALSE,FALSE
"253","19671029INDWAS",1967,"7",1967-10-29,"WAS","IND",13,17,FALSE,FALSE
"254","19671029LACLVR",1967,"9",1967-10-29,"LVR","LAC",51,10,FALSE,FALSE
"255","19671029LARCHI",1967,"7",1967-10-29,"CHI","LAR",17,28,FALSE,FALSE
"256","19671029MINATL",1967,"7",1967-10-29,"ATL","MIN",21,20,FALSE,FALSE
"257","19671029NENYJ",1967,"9",1967-10-29,"NYJ","NE",30,23,FALSE,FALSE
"258","19671029PITNO",1967,"7",1967-10-29,"NO","PIT",10,14,FALSE,FALSE
"259","19671030GBARI",1967,"7",1967-10-30,"ARI","GB",23,31,FALSE,FALSE
"260","19671105ARIWAS",1967,"8",1967-11-05,"WAS","ARI",21,27,FALSE,FALSE
"261","19671105ATLDAL",1967,"8",1967-11-05,"DAL","ATL",37,7,FALSE,FALSE
"262","19671105CHIDET",1967,"8",1967-11-05,"DET","CHI",13,27,FALSE,FALSE
"263","19671105CLEPIT",1967,"8",1967-11-05,"PIT","CLE",14,34,FALSE,FALSE
"264","19671105GBIND",1967,"8",1967-11-05,"IND","GB",13,10,FALSE,FALSE
"265","19671105LARSF",1967,"8",1967-11-05,"SF","LAR",7,17,FALSE,FALSE
"266","19671105LVRDEN",1967,"10",1967-11-05,"DEN","LVR",17,21,FALSE,FALSE
"267","19671105MIABUF",1967,"10",1967-11-05,"BUF","MIA",35,13,FALSE,FALSE
"268","19671105NYGMIN",1967,"8",1967-11-05,"MIN","NYG",27,24,FALSE,FALSE
"269","19671105NYJKC",1967,"10",1967-11-05,"KC","NYJ",42,18,FALSE,FALSE
"270","19671105PHINO",1967,"8",1967-11-05,"NO","PHI",31,24,FALSE,FALSE
"271","19671105TENNE",1967,"10",1967-11-05,"NE","TEN",18,7,FALSE,FALSE
"272","19671112BUFNYJ",1967,"11",1967-11-12,"NYJ","BUF",20,10,FALSE,FALSE
"273","19671112CLEGB",1967,"9",1967-11-12,"GB","CLE",55,7,FALSE,FALSE
"274","19671112DALNO",1967,"9",1967-11-12,"NO","DAL",10,27,FALSE,FALSE
"275","19671112DETMIN",1967,"9",1967-11-12,"MIN","DET",10,10,FALSE,FALSE
