"","game_id","schedule_season","schedule_week","schedule_date","team_favorite_id","spread_favorite","over_under_line"
"255","19671029LARCHI",1967,"7",1967-10-29,"",NA,NA
"256","19671029MINATL",1967,"7",1967-10-29,"",NA,NA
"257","19671029NENYJ",1967,"9",1967-10-29,"",NA,NA
"258","19671029PITNO",1967,"7",1967-10-29,"",NA,NA
"259","19671030GBARI",1967,"7",1967-10-30,"",NA,NA
"260","19671105ARIWAS",1967,"8",1967-11-05,"",NA,NA
"261","19671105ATLDAL",1967,"8",1967-11-05,"",NA,NA
"262","19671105CHIDET",1967,"8",1967-11-05,"",NA,NA
"263","19671105CLEPIT",1967,"8",1967-11-05,"",NA,NA
"264","19671105GBIND",1967,"8",1967-11-05,"",NA,NA
"265","19671105LARSF",1967,"8",1967-11-05,"",NA,NA
"266","19671105LVRDEN",1967,"10",1967-11-05,"",NA,NA
"267","19671105MIABUF",1967,"10",1967-11-05,"",NA,NA
"268","19671105NYGMIN",1967,"8",1967-11-05,"",NA,NA
"269","19671105NYJKC",1967,"10",1967-11-05,"",NA,NA
"270","19671105PHINO",1967,"8",1967-11-05,"",NA,NA
"271","19671105TENNE",1967,"10",1967-11-05,"",NA,NA
"272","19671112BUFNYJ",1967,"11",1967-11-12,"",NA,NA
"273","19671112CLEGB",1967,"9",1967-11-12,"",NA,NA
"274","19671112DALNO",1967,"9",1967-11-12,"",NA,NA
"275","19671112DETMIN",1967,"9",1967-11-12,"",NA,NA
"276","19671112INDATL",1967,"9",1967-11-12,"",NA,NA
"277","19671112KCNE",1967,"11",1967-11-12,"",NA,NA
"278","19671112MIALAC",1967,"11",1967-11-12,"",NA,NA
"279","19671112NYGCHI",1967,"9",1967-11-12,"",NA,NA
"280","19671112PHILAR",1967,"9",1967-11-12,"",NA,NA
"281","19671112PITARI",1967,"9",1967-11-12,"",NA,NA
"282","19671112SFWAS",1967,"9",1967-11-12,"",NA,NA
"283","19671112TENDEN",1967,"11",1967-11-12,"",NA,NA
"284","19671119ARICHI",1967,"10",1967-11-19,"",NA,NA
"285","19671119DENBUF",1967,"12",1967-11-19,"",NA,NA
"286","19671119DETIND",1967,"10",1967-11-19,"",NA,NA
"287","19671119LACKC",1967,"12",1967-11-19,"",NA,NA
"288","19671119LARATL",1967,"10",1967-11-19,"",NA,NA
"289","19671119MIALVR",1967,"12",1967-11-19,"",NA,NA
"290","19671119MINCLE",1967,"10",1967-11-19,"",NA,NA
"291","19671119NOPHI",1967,"10",1967-11-19,"",NA,NA
"292","19671119NYJNE",1967,"12",1967-11-19,"",NA,NA
"293","19671119PITNYG",1967,"10",1967-11-19,"",NA,NA
"294","19671119SFGB",1967,"10",1967-11-19,"",NA,NA
