"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","team_away_id","team_home_elo_pre","team_away_elo_pre"
"290","19671119MINCLE",1967,"10",1967-11-19,"CLE","MIN",1039,893
"291","19671119NOPHI",1967,"10",1967-11-19,"PHI","NO",996,815
"292","19671119NYJNE",1967,"12",1967-11-19,"NE","NYJ",990,1104
"293","19671119PITNYG",1967,"10",1967-11-19,"NYG","PIT",842,865
"294","19671119SFGB",1967,"10",1967-11-19,"GB","SF",1226,972
"295","19671119WASDAL",1967,"10",1967-11-19,"DAL","WAS",1142,999
"296","19671123ARIDAL",1967,"11",1967-11-23,"DAL","ARI",1073,977
"297","19671123DENLAC",1967,"13",1967-11-23,"LAC","DEN",1174,785
"298","19671123LARDET",1967,"11",1967-11-23,"DET","LAR",914,1212
"299","19671123LVRKC",1967,"13",1967-11-23,"KC","LVR",1096,1257
"300","19671126ATLNO",1967,"11",1967-11-26,"NO","ATL",789,821
"301","19671126BUFMIA",1967,"13",1967-11-26,"MIA","BUF",742,830
"302","19671126GBCHI",1967,"11",1967-11-26,"CHI","GB",1059,1244
"303","19671126INDSF",1967,"11",1967-11-26,"SF","IND",954,1273
"304","19671126MINPIT",1967,"11",1967-11-26,"PIT","MIN",812,863
"305","19671126NETEN",1967,"13",1967-11-26,"TEN","NE",977,956
"306","19671126PHINYG",1967,"11",1967-11-26,"NYG","PHI",895,1022
"307","19671126WASCLE",1967,"11",1967-11-26,"CLE","WAS",1069,1068
"308","19671203ATLLAR",1967,"12",1967-12-03,"LAR","ATL",1227,766
"309","19671203BUFKC",1967,"14",1967-12-03,"KC","BUF",1068,768
"310","19671203CHISF",1967,"12",1967-12-03,"SF","CHI",941,1033
"311","19671203DALIND",1967,"12",1967-12-03,"IND","DAL",1286,1110
"312","19671203DENNYJ",1967,"14",1967-12-03,"NYJ","DEN",1138,777
"313","19671203GBMIN",1967,"12",1967-12-03,"MIN","GB",906,1270
"314","19671203LVRLAC",1967,"14",1967-12-03,"LAC","LVR",1182,1285
"315","19671203MIATEN",1967,"14",1967-12-03,"TEN","MIA",1024,804
"316","19671203NOARI",1967,"12",1967-12-03,"ARI","NO",940,844
"317","19671203NYGCLE",1967,"12",1967-12-03,"CLE","NYG",1119,962
"318","19671203PHIWAS",1967,"12",1967-12-03,"WAS","PHI",1018,955
"319","19671203PITDET",1967,"12",1967-12-03,"DET","PIT",899,769
"320","19671209BUFNE",1967,"15",1967-12-09,"NE","BUF",909,754
"321","19671209GBLAR",1967,"13",1967-12-09,"LAR","GB",1232,1280
"322","19671210CLEARI",1967,"13",1967-12-10,"ARI","CLE",977,1148
"323","19671210DETNYG",1967,"13",1967-12-10,"NYG","DET",933,831
"324","19671210KCNYJ",1967,"15",1967-12-10,"NYJ","KC",1048,1082
"325","19671210LACMIA",1967,"15",1967-12-10,"MIA","LAC",782,1146
"326","19671210LVRTEN",1967,"15",1967-12-10,"TEN","LVR",1046,1321
"327","19671210MINCHI",1967,"13",1967-12-10,"CHI","MIN",1070,896
"328","19671210NOIND",1967,"13",1967-12-10,"IND","NO",1313,807
"329","19671210PHIDAL",1967,"13",1967-12-10,"DAL","PHI",1083,964
"330","19671210SFATL",1967,"13",1967-12-10,"ATL","SF",761,904
"331","19671210WASPIT",1967,"13",1967-12-10,"PIT","WAS",837,1009
"332","19671216DALSF",1967,"14",1967-12-16,"SF","DAL",935,1117
"333","19671216LACTEN",1967,"16",1967-12-16,"TEN","LAC",1029,1056
"334","19671217ARINYG",1967,"14",1967-12-17,"NYG","ARI",869,950
"335","19671217CHIATL",1967,"14",1967-12-17,"ATL","CHI",730,1047
"336","19671217CLEPHI",1967,"14",1967-12-17,"PHI","CLE",930,1175
"337","19671217INDLAR",1967,"14",1967-12-17,"LAR","IND",1289,1317
"338","19671217KCDEN",1967,"16",1967-12-17,"DEN","KC",867,1127
"339","19671217MINDET",1967,"14",1967-12-17,"DET","MIN",895,919
"340","19671217NEMIA",1967,"16",1967-12-17,"MIA","NE",872,838
"341","19671217NOWAS",1967,"14",1967-12-17,"WAS","NO",1036,803
"342","19671217NYJLVR",1967,"16",1967-12-17,"LVR","NYJ",1338,1003
"343","19671217PITGB",1967,"14",1967-12-17,"GB","PIT",1223,810
"344","19671223LARGB",1967,"15",1967-12-23,"GB","LAR",1130,1343
"345","19671223TENMIA",1967,"17",1967-12-23,"MIA","TEN",917,1083
"346","19671224BUFLVR",1967,"17",1967-12-24,"LVR","BUF",1350,825
"347","19671224CLEDAL",1967,"15",1967-12-24,"DAL","CLE",1043,1094
"348","19671224NYJLAC",1967,"17",1967-12-24,"LAC","NYJ",1002,991
"349","19671231DALGB",1967,"Conference",1967-12-31,"GB","DAL",1207,1100
"350","19671231TENLVR",1967,"Conference",1967-12-31,"LVR","TEN",1353,1111
"351","19680114LVRGB",1967,"Superbowl",1968-01-14,"GB","LVR",1242,1373
"352","19680906CINLAC",1968,"1",1968-09-06,"LAC","CIN",950,1000
"353","19680908NEBUF",1968,"1",1968-09-08,"BUF","NE",822,793
"354","19680909KCTEN",1968,"1",1968-09-09,"TEN","KC",1091,1145
"355","19680914ATLMIN",1968,"1",1968-09-14,"MIN","ATL",866,717
"356","19680914TENMIA",1968,"2",1968-09-14,"MIA","TEN",889,1049
