"","schedule_week","Date","Home Team","Away Team","Winner Pick","Spread Pick","Over/Under Pick"
"12372","16",2018-12-23,"NE","BUF","NE (84%)","BUF (+13.5)","Under (45)"
"12373","16",2018-12-23,"SF","CHI","CHI (77%)","SF (+4)","Over (44)"
"12374","16",2018-12-23,"CLE","CIN","CLE (64%)","CIN (+10)","Under (44)"
"12375","16",2018-12-23,"NYJ","GB","GB (60%)","NYJ (+3)","Under (47.5)"
"12376","16",2018-12-23,"PHI","HOU","PHI (64%)","PHI (-1)","Under (46.5)"
"12377","16",2018-12-23,"MIA","JAX","MIA (78%)","MIA (-3)","Over (39.5)"
"12378","16",2018-12-23,"SEA","KC","KC (57%)","SEA (+1)","Under (54.5)"
"12379","16",2018-12-23,"ARI","LAR","LAR (87%)","ARI (+14.5)","Under (43)"
"12380","16",2018-12-23,"DET","MIN","MIN (67%)","DET (+6.5)","Under (42.5)"
"12381","16",2018-12-23,"IND","NYG","IND (76%)","NYG (+10)","Under (48.5)"
"12382","16",2018-12-23,"NO","PIT","NO (82%)","NO (-6.5)","Under (53)"
"12383","16",2018-12-23,"DAL","TB","DAL (87%)","DAL (-7.5)","Under (48)"
"12384","16",2018-12-24,"LVR","DEN","DEN (59%)","LVR (+2.5)","Under (42.5)"
"12385","17",2018-12-30,"SEA","ARI","SEA (93%)","ARI (+14)","Over (39.5)"
"12386","17",2018-12-30,"TB","ATL","ATL (55%)","TB (+2.5)","Under (51.5)"
"12387","17",2018-12-30,"NO","CAR","NO (97%)","NO (-8)","Over (42)"
"12388","17",2018-12-30,"MIN","CHI","CHI (51%)","CHI (+6)","Over (40.5)"
"12389","17",2018-12-30,"PIT","CIN","PIT (82%)","CIN (+14)","Over (45)"
"12390","17",2018-12-30,"BAL","CLE","BAL (77%)","CLE (+7)","Over (41)"
"12391","17",2018-12-30,"NYG","DAL","DAL (76%)","DAL (+7.5)","Over (38.5)"
"12392","17",2018-12-30,"GB","DET","GB (63%)","DET (+7.5)","Under (44.5)"
"12393","17",2018-12-30,"TEN","IND","TEN (56%)","TEN (+5.5)","Over (42.5)"
"12394","17",2018-12-30,"HOU","JAX","HOU (79%)","JAX (+7)","Over (39.5)"
"12395","17",2018-12-30,"DEN","LAC","LAC (83%)","DEN (+7)","Over (43.5)"
"12396","17",2018-12-30,"KC","LVR","KC (87%)","LVR (+14.5)","Under (52.5)"
"12397","17",2018-12-30,"BUF","MIA","BUF (51%)","MIA (+5.5)","Over (39.5)"
"12398","17",2018-12-30,"NE","NYJ","NE (94%)","NYJ (+14.5)","Under (46.5)"
"12399","17",2018-12-30,"WAS","PHI","PHI (78%)","WAS (+6)","Over (42.5)"
