"","schedule_week","schedule_date","team_home_id","team_away_id","team_winner_predicted","team_winner_ats","team_home_win_prob","team_away_win_prob","over_under_pick","score_total_predicted"
"137","13",1966-12-04,"DAL","ARI","DAL (67%)",NA,0.665601486860156,0.334398513139844,NA,48.2
"138","13",1966-12-04,"MIN","ATL","MIN (72%)",NA,0.723733809213013,0.276266190786987,"Under (NA)",43.5
"139","14",1966-12-04,"NE","BUF","BUF (55%)",NA,0.453559744505619,0.546440255494381,"Under (NA)",45
"140","13",1966-12-04,"IND","CHI","IND (63%)",NA,0.634180754290258,0.365819245709742,NA,43.8
"141","13",1966-12-04,"LAR","DET","LAR (69%)",NA,0.693424711106012,0.306575288893988,NA,41.2
"142","14",1966-12-04,"TEN","LAC","LAC (52%)",NA,0.478852803829482,0.521147196170518,NA,40.4
"143","14",1966-12-04,"DEN","MIA","DEN (71%)",NA,0.712993050679244,0.287006949320756,NA,43.7
"144","13",1966-12-04,"CLE","NYG","CLE (92%)",NA,0.918190158930304,0.0818098410696959,NA,40.1
"145","13",1966-12-04,"PHI","PIT","PHI (75%)",NA,0.746872525443041,0.253127474556959,NA,44.5
"146","13",1966-12-04,"GB","SF","GB (73%)",NA,0.734273490541752,0.265726509458248,NA,45.1
"147","14",1966-12-10,"IND","GB","GB (58%)",NA,0.418762246266062,0.581237753733938,NA,39.6
"148","14",1966-12-11,"ATL","ARI","ARI (72%)",NA,0.279824448262885,0.720175551737115,"Under (NA)",39.8
"149","14",1966-12-11,"SF","CHI","SF (65%)",NA,0.65132816788752,0.34867183211248,NA,45.5
"150","14",1966-12-11,"PHI","CLE","PHI (58%)",NA,0.579856127511901,0.420143872488099,"Under (NA)",45
"151","15",1966-12-11,"LVR","DEN","LVR (71%)",NA,0.712993050679244,0.287006949320756,NA,46.1
"152","15",1966-12-11,"MIA","KC","KC (88%)",NA,0.122376078590245,0.877623921409755,NA,42.8
"153","14",1966-12-11,"DET","MIN","DET (71%)",NA,0.709369350034898,0.290630649965102,"Under (NA)",38.9
"154","15",1966-12-11,"TEN","NE","NE (88%)",NA,0.118827518176542,0.881172481823458,NA,42.9
"155","15",1966-12-11,"LAC","NYJ","LAC (53%)",NA,0.528185988898508,0.471814011101492,NA,45.5
"156","14",1966-12-11,"NYG","PIT","PIT (66%)",NA,0.344756764669631,0.655243235330369,"Under (NA)",41.5
"157","14",1966-12-11,"DAL","WAS","DAL (84%)",NA,0.842332775108722,0.157667224891278,NA,40.2
"158","15",1966-12-17,"ARI","CLE","ARI (51%)",NA,0.511282287345923,0.488717712654077,NA,51.7
"159","16",1966-12-17,"NYJ","NE","NE (77%)",NA,0.226767951532429,0.773232048467571,NA,52.2
"160","15",1966-12-18,"NYG","DAL","DAL (91%)",NA,0.0861711506305092,0.913828849369491,"Under (NA)",51.6
"161","16",1966-12-18,"BUF","DEN","BUF (83%)",NA,0.828313851150152,0.171686148849848,NA,51.5
"162","15",1966-12-18,"LAR","GB","GB (59%)",NA,0.409119821955688,0.590880178044312,NA,52.7
"163","15",1966-12-18,"SF","IND","SF (58%)",NA,0.578473516531428,0.421526483468572,NA,51.8
"164","16",1966-12-18,"LAC","KC","KC (68%)",NA,0.319096776757945,0.680903223242055,NA,52.3
"165","15",1966-12-18,"CHI","MIN","CHI (58%)",NA,0.579856127511901,0.420143872488099,NA,50.9
"166","15",1966-12-18,"WAS","PHI","PHI (53%)",NA,0.474628595593084,0.525371404406916,NA,52.3
"167","15",1966-12-18,"ATL","PIT","ATL (59%)",NA,0.585376558470025,0.414623441529975,NA,51
"168","16",1966-12-18,"MIA","TEN","MIA (58%)",NA,0.575705406702764,0.424294593297236,NA,50.1
"169","Conference",1967-01-01,"DAL","GB","GB (57%)",NA,0.429841897599333,0.570158102400667,NA,53
"170","Conference",1967-01-01,"BUF","KC","BUF (52%)",NA,0.518329707653638,0.481670292346362,NA,52.8
"171","Superbowl",1967-01-15,"GB","KC","GB (55%)","KC (+14)",0.554834672242922,0.445165327757078,NA,53.2
"172","1",1967-09-03,"DEN","NE","NE (69%)",NA,0.307817647081677,0.692182352918323,NA,51.8
"173","2",1967-09-09,"TEN","KC","KC (93%)",NA,0.0687819469549517,0.931218053045048,NA,50
"174","2",1967-09-09,"LAC","NE","NE (50%)",NA,0.495768657461213,0.504231342538787,NA,47.4
"175","2",1967-09-10,"LVR","DEN","LVR (74%)",NA,0.735431857722528,0.264568142277472,NA,47.5
"176","2",1967-09-10,"BUF","NYJ","BUF (73%)",NA,0.730783030193981,0.269216969806019,NA,47.6
"177","1",1967-09-17,"IND","ATL","IND (82%)",NA,0.823774436414031,0.176225563585969,NA,40.8
"178","1",1967-09-17,"PIT","CHI","PIT (61%)",NA,0.612705782909538,0.387294217090462,NA,43.6
"179","1",1967-09-17,"CLE","DAL","CLE (54%)",NA,0.539428859885445,0.460571140114555,NA,44.5
"180","3",1967-09-17,"MIA","DEN","DEN (59%)",NA,0.410494093400947,0.589505906599053,NA,40.6
"181","1",1967-09-17,"GB","DET","GB (97%)",NA,0.966480058794611,0.0335199412053888,NA,41.2
"182","1",1967-09-17,"NO","LAR","LAR (51%)",NA,0.4873078762022,0.5126921237978,NA,41.5
"183","3",1967-09-17,"LVR","NE","LVR (79%)",NA,0.785807881911884,0.214192118088116,NA,44
"184","1",1967-09-17,"ARI","NYG","ARI (87%)",NA,0.86500521564929,0.134994784350711,NA,41.6
"185","1",1967-09-17,"MIN","SF","SF (62%)",NA,0.380542645858431,0.619457354141569,NA,40.8
"186","3",1967-09-17,"BUF","TEN","BUF (96%)",NA,0.956477753986335,0.0435222460136653,NA,46.4
"187","1",1967-09-17,"PHI","WAS","PHI (77%)",NA,0.768949315239427,0.231050684760573,NA,44.4
"188","2",1967-09-22,"LAR","MIN","LAR (89%)",NA,0.888050134161778,0.111949865838222,NA,46.7
"189","2",1967-09-24,"PIT","ARI","PIT (77%)",NA,0.767871620794623,0.232128379205377,"Under (NA)",41
